model,config,workload,input_mean,output_mean,total_latency_ms,avg_request_latency_ms,request_throughput_req_s,system_output_throughput_tok_s,token_output_speed_tok_s,avg_ttft_ms,avg_tpot_ms,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99,tpot_ms_p50,tpot_ms_p90,tpot_ms_p95,tpot_ms_p99,gpu_util_peak_pct,gpu_memory_used_peak_mb,gpu_power_peak_w
Qwen2.5-3B,W16A16,short_in_short_out,256,256,25766.32,2576.6,0.3881,108.51,110.1,46.76,9.084,47.63,54.86,54.86,54.86,9.054,9.341,9.341,9.341,99.0,22493.0,377.19
Qwen2.5-3B,W16A16,long_in_short_out,2564,256,29430.97,2943.07,0.3398,95.0,109.91,408.15,9.099,402.61,443.85,443.85,443.85,9.088,9.208,9.208,9.208,100.0,22438.0,386.2
Qwen2.5-3B,W16A16,short_in_long_out,256,2564,247821.99,24782.15,0.0404,110.89,111.05,42.51,9.005,41.54,45.82,45.82,45.82,9.003,9.027,9.027,9.027,99.0,22438.0,388.35
Qwen2.5-3B,W16A16,long_in_long_out,2564,2564,257031.06,25703.06,0.0389,106.92,108.64,415.35,9.205,412.34,450.45,450.45,450.45,9.211,9.245,9.245,9.245,100.0,22438.0,389.34
Qwen2.5-3B,W16A16_INT8KV,short_in_short_out,256,256,25237.95,2523.77,0.3962,110.79,112.33,43.31,8.903,43.86,46.46,46.46,46.46,8.902,8.946,8.946,8.946,99.0,22438.0,389.55
Qwen2.5-3B,W16A16_INT8KV,long_in_short_out,2564,256,30430.31,3043.01,0.3286,91.88,106.04,414.94,9.432,410.83,449.24,449.24,449.24,9.464,9.638,9.638,9.638,100.0,22438.0,389.95
Qwen2.5-3B,W16A16_INT8KV,short_in_long_out,256,2564,249861.98,24986.15,0.04,109.99,110.15,43.14,9.079,42.2,46.42,46.42,46.42,9.083,9.12,9.12,9.12,99.0,22438.0,390.07
Qwen2.5-3B,W16A16_INT8KV,long_in_long_out,2564,2564,273107.39,27310.69,0.0366,100.63,102.16,417.22,9.789,411.8,453.14,453.14,453.14,9.807,9.877,9.877,9.877,100.0,22438.0,389.71
Qwen2.5-3B,W16A16_FP8KV,short_in_short_out,256,256,27910.54,2791.03,0.3583,100.18,101.45,45.07,9.859,45.08,48.48,48.48,48.48,9.816,10.07,10.07,10.07,100.0,22506.0,364.99
Qwen2.5-3B,W16A16_FP8KV,long_in_short_out,2564,256,36401.25,3640.1,0.2747,76.81,86.25,410.21,11.595,405.77,445.15,445.15,445.15,11.571,11.739,11.739,11.739,100.0,22473.0,372.98
Qwen2.5-3B,W16A16_FP8KV,short_in_long_out,256,2564,294056.04,29405.55,0.034,93.46,93.58,45.7,10.686,45.1,50.62,50.62,50.62,10.696,10.759,10.759,10.759,100.0,22472.0,378.49
Qwen2.5-3B,W16A16_FP8KV,long_in_long_out,2564,2564,349372.72,34937.22,0.0286,78.66,79.6,416.4,12.564,414.89,451.41,451.41,451.41,12.575,12.71,12.71,12.71,100.0,22470.0,376.29
Qwen2.5-3B,W8A16,short_in_short_out,256,256,15954.79,1595.46,0.6268,175.25,177.74,27.93,5.626,26.95,31.23,31.23,31.23,5.622,5.666,5.666,5.666,99.0,22172.0,378.66
Qwen2.5-3B,W8A16,long_in_short_out,2564,256,18724.03,1872.38,0.5341,149.33,170.54,238.57,5.864,230.96,262.21,262.21,262.21,5.853,5.982,5.982,5.982,100.0,22172.0,378.14
